"repo","date","agent","model","run","format","quiet","substantive","in_window","signal_cats","topic","blocker","fix","source"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-01","01","DA","false","true","false","GOTCHA|WORKED|METHOD","Regulatorische Strategie: Reklassifizierung MDR Class II → ""Kein MDSW"" (Spur A) + Klasse I/DiGA (Spur B)","Workspace-Bash war initial down — alle Recherche per Read/Grep statt CLI; einzelne Glob-Pattern timeout über D:\ Root → durch path-spezifische Globs umgangen","AskUserQuestion vor Doku-Erstellung für 3 strategische Weichen (Spur, Umfang, Format) — User wählte ""Beides parallel + späterer DiGA-Track"" + ""Vollständig 15-25 Seiten"" + ""Markdown im Repo""","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-01.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-02","02","DA","false","true","false","","Foundation-Doks Spur A: INTENDED_USE + REGULATORY_POSITION + CHANGE_LOG + CLAUDE.md-Guard","","","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-02.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-03","03","DA","false","true","false","WORKED","Spur A Code-Foundation: RoutingEngine, AnmeldeHinweisOverlay, Test-Suite, LandingPage entlastet","Workspace-Bash war für CI-Run nicht verfügbar — Tests sind angelegt aber nicht grün-gelaufen verifiziert","Tests sind so geschrieben, dass sie deterministisch + isoliert laufen (vitest unit + playwright e2e); kein Mock-/DB-Setup nötig; vor Merge in master sollte CI erzwungen werden","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-03.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-04","04","DA","false","true","false","WORKED","Marketing-Sprachreinigung in 4 Files + i18n in 10 Sprachen + ROUTING_RULES.md","Workspace-Bash war nicht verfügbar — i18n-Validator (node scripts/generate-i18n.ts) nicht ausgeführt; CI nicht grün-verifiziert","Manuelle alphabetische Einsortierung der Keys in jeder Sprachdatei (alle Files haben unterschiedliche Sortier-Reihenfolge); Native-Speaker-Review-TODO im CHANGE_LOG dokumentiert","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-04.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-05","05","DA","false","true","false","GOTCHA|FAILED","Aufrufer-Migration: answers.ts + socket.ts + Questionnaire.tsx + RedFlagOverlay deprecated + 2 i18n-Keys ×10 Sprachen","Workspace-Bash war für CI-Run nicht verfügbar — TS-/Lint-/Vitest-Verifikation muss manuell beim ersten npm run check-all stattfinden","Alle Änderungen so gehalten, dass Backwards-Compat existiert (emitTriageAlert bleibt, redFlags bleibt als Response-Alias, RedFlagOverlay bleibt importierbar) — kein Hard-Break-Risiko bei laufenden PW…","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-05.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-06","06","DA","false","true","false","GOTCHA","Frontend-Listener-Migration + RoutingEngine-Tests portiert","Workspace-Bash nicht verfügbar — keine CI-Verifikation; usePatientApi.test.tsx Mock-Fixtures müssen auf neues Schema angepasst werden (Folge-Aufgabe)","Backwards-Compat in zwei Schichten: (1) Server emittiert beide Events, (2) Frontend lauscht auf beide; das vermeidet Race-Conditions während Roll-Out","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-06.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-07","07","DA","false","true","false","METHOD","Defense-in-Depth: questions.ts triage.message bereinigt + usePatientApi-Test-Mocks aktualisiert","Workspace-Bash nicht verfügbar — keine Live-CI-Verifikation. Defense-in-Depth-Ansatz: questions.ts wird durch routingHintFromTriage abgefangen, ABER falls jemand den Adapter umgeht, ist der Quelltext…","Grep-Verifikation nach Bereinigung (hindeut|Verdacht|Notfall|Risiko|Herzinfarkt|Subarachno|Schlaganfall|Koronar|Meningitis) liefert KEINE Treffer in src/data — bestätigt durch Grep-Tool","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-07.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-08","08","DA","false","true","false","","i18n-Audit + Final-Sweep + MIGRATION_NEXT_STEPS.md","9 weitere Sprachen (en/fr/it/es/tr/ar/fa/uk/pl) mit den entsprechenden i18n-Werten noch nicht angepasst — Native-Speaker-Review priorisiert + parallel","Werte-Bereinigung erstmal in DE als Quelle; in MIGRATION_NEXT_STEPS.md §5 dokumentiert dass die anderen 9 Sprachen im Native-Speaker-Review-Prozess nachgezogen werden müssen","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-08.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-09","09","DA","false","true","false","METHOD","Status-Übersicht + PR-Beschreibung als drop-in Markdown","","","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-09.md"
"diggai-anamnese","2026-05-05","claude-code","opus-4-7-10","10","DA","false","true","false","METHOD","Status-Übersicht + PR-Beschreibung + 2 CI-Fixes (JWT + ENCRYPTION_KEY)","Workspace-Bash nicht verfügbar — CI nicht live-verifiziert, aber Logik-Korrektur ist deterministisch","Beide CI-Brüche aus REGULATORY_STRATEGY.md §11.1 Sofortmaßnahmen sind jetzt code-seitig adressiert","diggai-anamnese/memory/runs/2026-05-05_claude-code_opus-4-7-10.md"
